No,First Name,Last Name,Gender,Start Date,Years,Department,Country,Center,Monthly Salary,Annual Salary,Job Rate,Sick Leaves,Unpaid Leaves,Overtime Hours
119,Muhamad,Jhad,Male,03-04-2019,6,Manufacturing,Egypt,West,3411,40932,5,4,0,2
120,Limays,Ghrz,Female,13-11-2016,8,Marketing,Syria,North,3324,39888,3,5,0,7
121,Zaydun,Jabir,Male,24-10-2019,5,Manufacturing,United Arab Emirates,Main,2715,32580,1,0,3,3
122,Fatima,Zaetar,Female,28-07-2019,5,Quality Assurance,United Arab Emirates,West,2664,31968,4.5,1,0,9
123,Tariq,Shakir,Male,30-10-2020,4,Quality Control,Saudi Arabia,Main,1801,21612,5,0,0,82
124,Ruyda,Alhamadii,Female,25-01-2018,7,Manufacturing,United Arab Emirates,Main,1452,17424,3,0,0,0
125,Anwar,Almaseud,Male,28-06-2017,7,Quality Control,United Arab Emirates,North,2358,28296,3,0,0,14
126,Fayaruz,Sabih,Female,11-08-2019,5,Manufacturing,Egypt,North,784,9408,3,2,3,9
127,Jwny,Alrashid,Male,27-07-2017,7,Manufacturing,Egypt,Main,1423,17076,3,0,0,4
128,Karam,Kiali,Male,28-07-2018,6,Human Resources,United Arab Emirates,Main,2174,26088,2,6,0,10
129,Jamal,Alhalib,Male,18-07-2020,4,Marketing,Egypt,North,2182,26184,4.5,6,0,74
130,Suzan,Alsawis,Female,29-07-2019,5,Quality Control,Egypt,Main,2437,29244,3,0,0,2
131,Alaa,Efan,Female,18-09-2019,5,Quality Control,Egypt,Main,926,11112,2,3,0,1
132,Jihad,Aldarawasha,Male,30-01-2017,8,Marketing,United Arab Emirates,West,1506,18072,3,0,0,1
133,Muhamad,Khalid,Male,03-01-2018,7,IT,Saudi Arabia,North,3159,37908,5,0,0,10
134,Haithim,Hujah,Male,04-09-2017,7,Quality Assurance,Syria,North,1117,13404,1,0,0,3
135,Duhana,Alakhris,Female,14-06-2018,6,Quality Control,Syria,West,2379,28548,4.5,0,0,7
136,Eazalidin,Almala,Male,28-11-2019,5,Manufacturing,Egypt,Main,2372,28464,5,4,1,6
137,Habib,Klizli,Male,09-02-2020,5,Quality Assurance,Egypt,North,2908,34896,3,0,0,12
138,Rasha,Bajubuj,Female,12-05-2020,4,Environmental Compliance,Egypt,Main,2019,24228,3,5,2,15
139,Mahir,Albaghdadi,Male,29-05-2018,6,Manufacturing,Egypt,North,877,10524,1,0,0,0
140,Alaa,Almunzilijiu,Male,22-03-2019,6,Marketing,Egypt,North,1043,12516,5,0,0,0
141,Labanaa,Qaziyha,Female,21-08-2019,5,IT,United Arab Emirates,Main,3258,39096,3,3,0,0
142,Fatnh,Abu,Female,30-11-2020,4,Quality Assurance,Saudi Arabia,North,976,11712,5,5,0,2
143,Iilyas,Dahadal,Female,16-04-2019,6,Account Management,Egypt,Main,3096,37152,2,0,0,8
144,Rim,Huaydi,Female,27-03-2019,6,Training,Egypt,West,1985,23820,3,6,2,6
145,Ahmad,Muhamad,Male,20-01-2020,5,Product Development,United Arab Emirates,Main,2371,28452,5,0,0,1
146,Abd Alruhmin,Almahrus,Male,24-02-2019,6,Quality Assurance,Egypt,North,2562,30744,2,4,0,3
147,Biaism,Tyzry,Female,28-08-2020,4,Quality Control,Syria,Main,1254,15048,5,0,0,8
148,Omar,Milatu,Male,14-03-2018,7,Manufacturing,Syria,Main,793,9516,5,6,0,2
149,Alyida,Nieamah,Female,29-09-2017,7,Creative,Egypt,West,2416,28992,3,0,0,2
150,Kamal,Hajl,Male,07-02-2017,8,Facilities/Engineering,Syria,North,822,9864,5,6,0,1
151,Amjad,Naghnagh,Male,14-10-2020,4,Manufacturing,Egypt,South,1442,17304,5,2,1,23
152,Iin,Qisi,Female,11-11-2019,5,IT,Egypt,West,887,10644,4.5,0,0,54
153,Basmah,Alhabis,Female,26-02-2017,8,Manufacturing,Egypt,North,1671,20052,2,0,0,3
154,Eala,Dahbur,Female,27-03-2019,6,Account Management,United Arab Emirates,Main,1877,22524,4.5,1,0,0
155,Rwbyna,Iibrahim,Female,05-03-2019,6,IT,United Arab Emirates,North,1960,23520,2,0,0,8
156,Tariq,Salim,Male,19-07-2018,6,Manufacturing,United Arab Emirates,Main,2422,29064,4.5,0,2,10
157,Basimah,Sybea,Female,06-08-2019,5,Manufacturing,Saudi Arabia,Main,1299,15588,5,0,0,8
158,Zunar,Eali,Male,18-03-2020,5,Major Mfg Projects,Egypt,South,2127,25524,5,0,0,3
159,Rim,Mia,Female,07-07-2019,5,Quality Control,Egypt,North,3096,37152,2,5,0,9
160,Lana,Alhabash,Female,05-02-2016,9,Manufacturing,Egypt,West,951,11412,1,6,0,8
161,Muhamad,Alshghry,Male,16-05-2020,4,Manufacturing,Egypt,North,2940,35280,1,6,0,13
162,Ghazal,Hisan,Female,28-09-2020,4,Facilities/Engineering,Saudi Arabia,Main,3293,39516,4.5,1,6,9
163,Khalil,Alzaebii,Male,15-04-2017,8,Marketing,United Arab Emirates,North,3250,39000,2,1,0,8
164,Samir,Shalish,Male,12-10-2018,6,Account Management,Egypt,Main,2085,25020,3,1,0,9
165,Abdalmjid,Ahmad,Male,22-06-2019,5,Manufacturing,Lebanon,Main,1578,18936,3,0,0,15
166,Emar,Abil,Female,17-09-2019,5,Account Management,United Arab Emirates,Main,1169,14028,3,1,0,10
167,Lamia,Warur,Female,11-07-2017,7,Account Management,Saudi Arabia,South,1054,12648,5,4,6,7
168,Fyfian,Abu,Female,03-08-2019,5,Account Management,Egypt,Main,1349,16188,4.5,1,0,4
169,Majd,Yasin,Female,16-04-2019,6,Quality Control,United Arab Emirates,South,2196,26352,5,4,0,9
170,Alaa,Almisri,Female,16-01-2020,5,Quality Assurance,Egypt,Main,3264,39168,5,6,5,4
171,Muhamad,Amir,Male,26-07-2017,7,Quality Control,United Arab Emirates,North,1232,14784,5,4,5,2
172,Lilas,Balatah,Female,18-11-2019,5,IT,Egypt,Main,2401,28812,5,0,0,9
173,Ruaa,Mukiin,Female,16-09-2017,7,Manufacturing,Saudi Arabia,Main,3168,38016,5,0,0,18
174,Rana,Shaeban,Female,17-02-2018,7,Quality Assurance,Egypt,Main,1620,19440,5,5,0,10
175,Muwmin,Ewad,Male,06-06-2017,7,Quality Control,United Arab Emirates,Main,1482,17784,5,0,0,3
176,Rahaf,Alaleppoy,Female,18-04-2020,4,Account Management,Egypt,Main,1967,23604,4.5,6,0,6
177,Samiah,Alsaedi,Female,16-03-2018,7,Manufacturing,Egypt,Main,1696,20352,5,0,0,5
178,Rim,Hamdu,Female,24-12-2018,6,Facilities/Engineering,Egypt,South,2913,34956,4.5,0,0,3
179,Aishah,Alquatliu,Female,07-03-2020,5,Quality Assurance,Lebanon,South,2068,24816,1,0,1,0
180,Dany,Albaba,Male,25-10-2018,6,Environmental Health/Safety,United Arab Emirates,North,1430,17160,3,6,0,0
181,Muhamad,Rinkusi,Male,30-05-2018,6,Account Management,Saudi Arabia,North,3138,37656,1,0,5,9
182,Isam,Jadid,Male,04-12-2020,4,Manufacturing,Egypt,Main,2051,24612,3,0,0,2
183,Bushraa,Drwysh,Female,08-09-2018,6,Facilities/Engineering,Egypt,North,2986,35832,1,3,0,8
184,Zakarian,Rashwani,Male,28-02-2019,6,Manufacturing,Syria,Main,2790,33480,5,6,0,3
185,Fadi,Alqadi,Male,17-12-2020,4,Facilities/Engineering,Egypt,Main,1075,12900,4.5,6,0,7
186,Diea,Almarstani,Male,07-05-2019,5,Sales,Syria,Main,2009,24108,1,5,0,0
187,Muhamad,Siedih,Male,03-08-2018,6,Training,Egypt,Main,3254,39048,3,4,6,5
188,Bisam,Almisri,Female,17-10-2019,5,Creative,United Arab Emirates,Main,2367,28404,3,0,0,1
189,Muhamad,Alkhatib,Male,02-02-2018,7,Manufacturing,United Arab Emirates,Main,3158,37896,3,2,5,10
190,Muhamad,Rghid,Male,27-12-2019,5,Manufacturing,United Arab Emirates,Main,1980,23760,2,0,0,2
191,Omar,Shakir,Male,07-04-2019,6,Account Management,Egypt,Main,2049,24588,3,6,0,23
192,Aryj,Hamada,Female,27-05-2020,4,Quality Assurance,Egypt,North,2727,32724,2,0,0,8
193,Madlin,Saeid,Female,07-12-2019,5,Manufacturing,United Arab Emirates,South,974,11688,5,0,0,9
194,Rybal,Sabagh,Male,06-11-2019,5,Product Development,United Arab Emirates,North,992,11904,5,0,0,3
195,Samar,Alqutb,Female,17-08-2018,6,Account Management,Egypt,West,2730,32760,1,4,6,9
196,Eala,Murad,Female,18-01-2016,9,Facilities/Engineering,Egypt,West,2804,33648,4.5,0,0,4
197,Ahmad,Salih,Male,03-04-2019,6,Quality Control,Egypt,Main,1467,17604,5,6,0,0
198,Ibrahim,Alhamid,Male,06-11-2020,4,Major Mfg Projects,Lebanon,West,997,11964,5,1,0,68
199,Muhamad,Alziyat,Male,28-08-2019,5,Account Management,Saudi Arabia,West,1859,22308,5,5,0,1
200,Ali,Nhl,Male,03-09-2019,5,Quality Assurance,Egypt,North,1231,14772,1,1,5,7
201,Saed,Alsiyah,Male,19-07-2019,5,Manufacturing,Egypt,Main,719,8628,5,0,0,8
202,Majdy,Rafaea,Male,31-05-2020,4,Environmental Compliance,United Arab Emirates,Main,2186,26232,1,2,0,10
203,Ihsan,Eazu,Male,18-05-2019,5,Professional Training Group,Egypt,West,1605,19260,4.5,5,4,9
204,Iad,Alshaykh,Male,17-05-2018,6,Facilities/Engineering,Egypt,Main,2365,28380,1,0,0,73
205,Bara,Alrrashid,Male,17-04-2017,8,Research Center,Syria,Main,1096,13152,4.5,4,0,8
206,Fadi,Nuna,Male,08-07-2019,5,Facilities/Engineering,Egypt,North,1037,12444,3,6,0,5
207,Muhamad,Salah,Male,03-12-2020,4,Facilities/Engineering,Syria,West,1757,21084,2,6,0,13
208,Bima,Mustafaa,Female,03-11-2020,4,Quality Assurance,Egypt,Main,3405,40860,5,0,0,1
209,Husam,Abu Shwmr,Male,11-06-2018,6,Account Management,United Arab Emirates,West,2154,25848,5,0,0,0
210,Abdalrahmin,Turkmany,Male,12-02-2019,6,Marketing,Egypt,Main,805,9660,2,0,0,6
211,Majdulyn,Alhakim,Female,03-10-2018,6,Human Resources,Egypt,Main,3093,37116,4.5,0,0,10
212,Ahmad,Abu Jaysh,Male,10-08-2017,7,Creative,Saudi Arabia,West,1039,12468,3,2,0,87
213,Majid,Aleusud,Male,23-11-2019,5,Account Management,Egypt,West,1012,12144,3,1,0,7
214,Bashshar,Shakhashiru,Male,13-06-2017,7,Sales,Egypt,Main,2216,26592,2,0,0,11
215,Malik,Alshaykh,Male,28-11-2020,4,Quality Assurance,Egypt,South,2020,24240,4.5,0,5,0
216,Omar,Zarzur,Male,06-11-2016,8,Product Development,United Arab Emirates,North,3309,39708,4.5,1,0,7
217,Hasan,Iismaeil,Male,05-05-2020,4,Account Management,United Arab Emirates,North,983,11796,2,6,0,0
218,Husayn,Abu Nasir,Male,25-03-2018,7,Manufacturing,Egypt,Main,741,8892,3,0,0,1
219,Mazin,Earabi,Male,13-09-2016,8,Account Management,United Arab Emirates,Main,1171,14052,4.5,0,0,0
220,Zahir,Eisaa,Male,18-12-2019,5,Quality Assurance,Egypt,North,2512,30144,5,6,0,10
221,Lama,Sabiq,Female,29-03-2019,6,Quality Control,Egypt,West,1608,19296,1,0,3,4
222,Tariq,Dw,Male,24-04-2020,4,Quality Assurance,United Arab Emirates,North,1677,20124,1,0,0,12
223,Jawaher,Shaykhus,Female,25-04-2018,6,Quality Assurance,Egypt,West,3414,40968,5,0,0,2
224,Emam,Mansur,Male,29-03-2019,6,Quality Assurance,Lebanon,Main,1358,16296,5,0,0,10
225,Muhamad,Bulta,Male,17-08-2019,5,Account Management,Egypt,South,703,8436,4.5,0,0,64
226,Fatin,Hamshu,Female,09-12-2018,6,Product Development,Egypt,Main,2017,24204,2,0,1,8
227,Abd Alruhmin,Alnasar,Male,10-08-2019,5,Product Development,Egypt,Main,1806,21672,5,0,0,7
228,Fatin,Red,Female,17-07-2019,5,Creative,Egypt,North,2421,29052,3,6,0,16
229,Ali,Muhamad,Male,05-06-2018,6,Marketing,United Arab Emirates,North,1461,17532,5,1,0,7
230,Rima,Dwalyby,Female,02-10-2020,4,Manufacturing,Egypt,South,1287,15444,1,0,0,7
231,Basil,Musaa,Male,24-05-2018,6,Manufacturing,Egypt,Main,2756,33072,3,2,0,4
232,Antuan,Litansdurfr,Male,09-01-2019,6,Quality Control,Egypt,Main,2332,27984,5,0,0,2
233,Rashad,Iidris,Male,26-11-2019,5,Training,Egypt,Main,812,9744,3,0,0,10
234,Bidralidin,Ahmdghrybw,Male,29-09-2020,4,Manufacturing,Egypt,North,2651,31812,1,0,0,12
235,Faras,Shaykh,Male,23-03-2019,6,Sales,United Arab Emirates,West,2331,27972,4.5,0,0,9
236,Muhamad,Eala Aldiyn,Male,27-12-2019,5,Sales,Saudi Arabia,North,2162,25944,5,0,0,13
237,Khaldun,Suqbani,Male,09-06-2020,4,Manufacturing,Egypt,North,1952,23424,3,1,1,34
238,Lwna,Albahra,Female,10-04-2020,5,Product Development,Egypt,North,2976,35712,4.5,0,2,6
239,Ahmad,Ezqul,Male,21-06-2018,6,Manufacturing,Saudi Arabia,Main,2080,24960,5,0,5,13
240,Salih,Alhamuwd,Male,27-11-2018,6,Marketing,Egypt,Main,1668,20016,4.5,0,3,3
241,Muhamad,Abu Zamil,Male,05-07-2016,8,Marketing,Egypt,Main,2234,26808,5,3,0,7
242,Fuad,Alsyqly,Male,27-10-2019,5,Account Management,Syria,South,2096,25152,3,5,2,0
243,Muhamad,Aldamshqi,Male,27-05-2019,5,Manufacturing,Saudi Arabia,Main,2129,25548,3,1,1,3
244,Sayf Aldiyn,Alkmshh,Male,12-02-2019,6,Manufacturing,Saudi Arabia,Main,1429,17148,3,0,5,8
245,Muhamad,Alssati,Male,22-10-2020,4,Manufacturing,United Arab Emirates,North,1479,17748,3,5,4,8
246,Khalid,Alem,Male,16-12-2020,4,Quality Control,United Arab Emirates,North,2884,34608,5,1,6,3
247,Ayham,Aleisaa,Male,02-12-2020,4,Training,Syria,Main,2947,35364,3,5,0,1
248,Abd Alruhmin,Dulul,Male,24-06-2018,6,Quality Control,Egypt,North,1795,21540,1,0,0,4
249,Ruba,Aleid,Female,06-02-2018,7,Account Management,Egypt,West,1982,23784,5,1,0,7
250,Muhamad,Badawiin,Male,27-11-2020,4,Account Management,Egypt,South,2543,30516,5,0,0,86
251,Sharihan,Rihan,Female,08-02-2020,5,Manufacturing,Egypt,Main,2787,33444,3,3,0,12
252,Ibrahim,Alyasin,Male,04-02-2020,5,Quality Assurance,Egypt,North,1095,13140,5,6,0,5
253,Iin,Mulaliyun,Female,15-04-2020,5,Manufacturing,Saudi Arabia,Main,2009,24108,5,0,0,0
